id	measurementID	occurrenceID	measurementType	measurementTypeID	measurementValue	measurementValueID	measurementAccuracy	measurementUnit	measurementUnitID	measurementDeterminedDate	measurementDeterminedBy	measurementMethod	measurementRemarks
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1028		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1028	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	5			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1029		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1029	biomass		5.2			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1029		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1029	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	290			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1029		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1029	temperature	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	21.3			celsius					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_103		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_103	biomass		0.1			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_103		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_103	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	50			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1030		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1030	biomass		124.6			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1030		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1030	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	80			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1030		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1030	temperature	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	21.3			celsius					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1031		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1031	biomass		0.1			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1031		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1031	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	5			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1031		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1031	temperature	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	21.3			celsius					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1032		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1032	biomass		1.2			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1032		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1032	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	400			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1032		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1032	temperature	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	21.3			celsius					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1033		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1033	biomass		0.005			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1033		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1033	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	5			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1033		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1033	temperature	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	18.3			celsius					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1034		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1034	biomass		0.1			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
